fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
493,323.17384,4.55,59886.09255,21.65,299,0.09689,1.14744,ztfg,-1
545,326.85237,11.75,59886.09613,21.65,299,0.05118,1.0866,ztfg,-1
547,340.82087,11.75,59886.09972,21.65,299,0.0405,1.14607,ztfg,-1
597,339.62582,18.95,59886.10331,21.65,299,0.01893,1.08094,ztfg,-1
495,337.1956,4.55,59886.1069,21.65,299,0.01192,1.18067,ztfg,-1
1435,320.44222,-6.25,59886.11049,21.65,299,0.01386,1.29751,ztfg,-1
596,332.376,18.95,59886.11407,21.65,299,0.01104,1.04033,ztfg,-1
1487,324.05338,0.95,59886.11766,21.65,299,0.00922,1.18353,ztfg,-1
440,312.50481,-2.65,59886.12125,21.65,299,0.00911,1.27596,ztfg,-1
1540,327.66364,8.15,59886.12484,21.65,299,0.00531,1.10431,ztfg,-1
492,316.16296,4.55,59886.12843,21.65,299,0.0053,1.17007,ztfg,-1
1541,334.52308,8.15,59886.13201,21.65,299,0.00395,1.10636,ztfg,-1
391,329.95489,-9.85,59886.1356,21.65,299,0.00374,1.37053,ztfg,-1
1436,327.34993,-6.25,59886.13919,21.65,299,0.00303,1.30364,ztfg,-1
1593,340.23348,15.35,59886.14278,21.65,299,0.00241,1.055,ztfg,-1
1592,333.1187,15.35,59886.14636,21.65,299,0.00232,1.05191,ztfg,-1
1488,330.93862,0.95,59886.14995,21.65,299,0.00205,1.19011,ztfg,-1
441,319.53365,-2.65,59886.15065,21.65,299,0.11238,1.29987,ztfr,-1
546,333.83662,11.75,59886.15424,21.65,299,0.11079,1.07827,ztfr,-1
442,326.5625,-2.65,59886.15782,21.65,299,0.10796,1.27076,ztfr,-1
494,330.18472,4.55,59886.16141,21.65,299,0.09821,1.16098,ztfr,-1
493,323.17384,4.55,59886.165,21.65,299,0.09689,1.20577,ztfr,-1
545,326.85237,11.75,59886.16859,21.65,299,0.05118,1.11836,ztfr,-1
547,340.82087,11.75,59886.17218,21.65,299,0.0405,1.07753,ztfr,-1
597,339.62582,18.95,59886.17576,21.65,299,0.01893,1.03811,ztfr,-1
495,337.1956,4.55,59886.17935,21.65,299,0.01192,1.15892,ztfr,-1
1435,320.44222,-6.25,59886.18294,21.65,299,0.01386,1.49359,ztfr,-1
596,332.376,18.95,59886.18653,21.65,299,0.01104,1.07522,ztfr,-1
1487,324.05338,0.95,59886.19011,21.65,299,0.00922,1.33401,ztfr,-1
440,312.50481,-2.65,59886.1937,21.65,299,0.00911,1.64022,ztfr,-1
1540,327.66364,8.15,59886.19729,21.65,299,0.00531,1.22307,ztfr,-1
492,316.16296,4.55,59886.20088,21.65,299,0.0053,1.45519,ztfr,-1
1541,334.52308,8.15,59886.20447,21.65,299,0.00395,1.18588,ztfr,-1
391,329.95489,-9.85,59886.20805,21.65,299,0.00374,1.58187,ztfr,-1
1436,327.34993,-6.25,59886.21164,21.65,299,0.00303,1.55213,ztfr,-1
1593,340.23348,15.35,59886.21523,21.65,299,0.00241,1.11075,ztfr,-1
1592,333.1187,15.35,59886.21882,21.65,299,0.00232,1.17545,ztfr,-1
