fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
782,103.90195,54.95,59885.48433,21.65,299,0.0052,1.07843,ztfi,-1
813,100.0,62.15,59885.48792,21.65,299,0.00496,1.1409,ztfi,-1
835,42.85714,69.35,59885.4915,21.65,299,0.00473,1.48658,ztfi,-1
1813,54.98986,58.55,59885.49509,21.65,299,0.00299,1.30225,ztfi,-1
748,119.55231,47.75,59885.49868,21.65,299,0.00389,1.05754,ztfi,-1
707,114.69867,40.55,59885.50227,21.65,299,0.00329,1.01848,ztfi,-1
406,71.99519,-2.65,59885.50586,21.65,299,0.00435,1.49478,ztfi,-1
305,79.52832,-17.05,59885.50944,21.65,299,0.00355,1.82696,ztfi,-1
1500,49.97692,8.15,59885.51303,21.65,299,0.00211,1.94931,ztfi,-1
1843,68.79756,65.75,59885.51662,21.65,299,0.00242,1.3127,ztfi,-1
1842,53.87953,65.75,59885.52021,21.65,299,0.00184,1.45133,ztfi,-1
835,42.85714,69.35,59886.07819,21.65,299,0.00473,1.97699,ztfr,-1
809,46.66667,62.15,59886.09613,21.65,299,0.02052,2.02805,ztfr,-1
856,60.0,76.55,59886.09972,21.65,299,0.0073,2.01297,ztfr,-1
1842,53.87953,65.75,59886.11049,21.65,299,0.00184,2.02056,ztfr,-1
777,49.31587,54.95,59886.11407,21.65,299,0.00815,2.03716,ztfr,-1
836,60.0,69.35,59886.12125,21.65,299,0.03246,2.0113,ztfr,-1
1813,54.98986,58.55,59886.12484,21.65,299,0.00299,2.03151,ztfr,-1
605,38.5896,26.15,59886.12843,21.65,299,0.00444,1.96214,ztfr,-1
555,37.62436,18.95,59886.13201,21.65,299,0.00773,2.04356,ztfr,-1
810,60.0,62.15,59886.1356,21.65,299,0.13003,2.00415,ztfr,-1
504,36.69487,11.75,59886.14278,21.65,299,0.02748,2.0166,ztfr,-1
778,60.11656,54.95,59886.14636,21.65,299,0.06974,2.00902,ztfr,-1
606,46.1152,26.15,59886.14995,21.65,299,0.00413,1.95121,ztfr,-1
556,44.87418,18.95,59886.15354,21.65,299,0.00731,2.0169,ztfr,-1
451,33.28264,4.55,59886.15713,21.65,299,0.00501,1.8509,ztfr,-1
505,43.67912,11.75,59886.16072,21.65,299,0.05565,2.04352,ztfr,-1
452,40.29352,4.55,59886.1643,21.65,299,0.04506,2.05274,ztfr,-1
1499,43.11748,8.15,59886.16789,21.65,299,0.0042,2.0024,ztfr,-1
811,73.33333,62.15,59886.17148,21.65,299,0.0256,2.01566,ztfr,-1
779,71.12768,54.95,59886.17507,21.65,299,0.04242,2.03197,ztfr,-1
1814,66.98986,58.55,59886.17866,21.65,299,0.00827,1.82488,ztfr,-1
506,50.66337,11.75,59886.18224,21.65,299,0.016,2.00334,ztfr,-1
453,47.3044,4.55,59886.18583,21.65,299,0.07474,2.01464,ztfr,-1
1447,46.67615,0.95,59886.18942,21.65,299,0.00475,2.0549,ztfr,-1
402,43.87981,-2.65,59886.19301,21.65,299,0.02666,2.00207,ztfr,-1
401,36.85096,-2.65,59886.1966,21.65,299,0.00294,1.70048,ztfr,-1
1500,49.97692,8.15,59886.20018,21.65,299,0.00211,1.79424,ztfr,-1
454,54.31528,4.55,59886.20377,21.65,299,0.02261,2.04204,ztfr,-1
812,86.66667,62.15,59886.20736,21.65,299,0.00776,2.027,ztfr,-1
403,50.90865,-2.65,59886.21095,21.65,299,0.05599,2.02804,ztfr,-1
838,94.28571,69.35,59886.21454,21.65,299,0.01077,2.02618,ztfr,-1
837,77.14286,69.35,59886.21812,21.65,299,0.00598,1.70179,ztfr,-1
780,82.05244,54.95,59886.22171,21.65,299,0.00441,1.84859,ztfr,-1
700,54.52367,40.55,59886.2253,21.65,299,0.0032,1.30891,ztfr,-1
404,57.9375,-2.65,59886.22889,21.65,299,0.01455,2.05494,ztfr,-1
351,47.49593,-9.85,59886.23248,21.65,299,0.00596,1.87572,ztfr,-1
1448,53.56138,0.95,59886.23606,21.65,299,0.00322,1.67259,ztfr,-1
352,54.54511,-9.85,59886.23965,21.65,299,0.01159,2.0425,ztfr,-1
1396,50.24237,-6.25,59886.24324,21.65,299,0.00215,1.71421,ztfr,-1
813,100.0,62.15,59886.24683,21.65,299,0.00496,2.0021,ztfr,-1
1843,68.79756,65.75,59886.25042,21.65,299,0.00242,1.43851,ztfr,-1
1397,57.15007,-6.25,59886.254,21.65,299,0.00145,1.80309,ztfr,-1
406,71.99519,-2.65,59886.26836,21.65,299,0.00435,2.04688,ztfr,-1
782,103.90195,54.95,59886.27194,21.65,299,0.0052,1.96043,ztfr,-1
354,68.64348,-9.85,59886.27912,21.65,299,0.03119,2.03735,ztfr,-1
1346,67.74771,-13.45,59886.28988,21.65,299,0.00206,2.01907,ztfr,-1
747,110.12762,47.75,59886.29347,21.65,299,0.00635,2.0301,ztfr,-1
783,114.82671,54.95,59886.29706,21.65,299,0.01273,2.02175,ztfr,-1
303,65.36446,-17.05,59886.30065,21.65,299,0.01499,1.98456,ztfr,-1
707,114.69867,40.55,59886.315,21.65,299,0.00329,2.04351,ztfr,-1
304,72.44639,-17.05,59886.31859,21.65,299,0.01589,2.004,ztfr,-1
748,119.55231,47.75,59886.32218,21.65,299,0.00389,1.99334,ztfr,-1
305,79.52832,-17.05,59886.33653,21.65,299,0.00355,2.02417,ztfr,-1
254,67.69804,-24.25,59886.35088,21.65,299,0.00245,2.0012,ztfr,-1
810,60.0,62.15,59886.35157,21.65,299,0.13003,1.14985,ztfi,-1
778,60.11656,54.95,59886.35516,21.65,299,0.06974,1.08277,ztfi,-1
779,71.12768,54.95,59886.35875,21.65,299,0.04242,1.10585,ztfi,-1
453,47.3044,4.55,59886.36234,21.65,299,0.07474,1.14746,ztfi,-1
403,50.90865,-2.65,59886.36593,21.65,299,0.05599,1.23846,ztfi,-1
505,43.67912,11.75,59886.36951,21.65,299,0.05565,1.09886,ztfi,-1
452,40.29352,4.55,59886.3731,21.65,299,0.04506,1.19246,ztfi,-1
504,36.69487,11.75,59886.37669,21.65,299,0.02748,1.15092,ztfi,-1
402,43.87981,-2.65,59886.38028,21.65,299,0.02666,1.28943,ztfi,-1
354,68.64348,-9.85,59886.38386,21.65,299,0.03119,1.38229,ztfi,-1
454,54.31528,4.55,59886.38745,21.65,299,0.02261,1.15283,ztfi,-1
506,50.66337,11.75,59886.39104,21.65,299,0.016,1.10204,ztfi,-1
836,60.0,69.35,59886.39463,21.65,299,0.03246,1.23885,ztfi,-1
811,73.33333,62.15,59886.39822,21.65,299,0.0256,1.14496,ztfi,-1
809,46.66667,62.15,59886.4018,21.65,299,0.02052,1.17781,ztfi,-1
838,94.28571,69.35,59886.40539,21.65,299,0.01077,1.28008,ztfi,-1
783,114.82671,54.95,59886.40898,21.65,299,0.01273,1.25958,ztfi,-1
1814,66.98986,58.55,59886.41257,21.65,299,0.00827,1.10748,ztfi,-1
777,49.31587,54.95,59886.41616,21.65,299,0.00815,1.12572,ztfi,-1
812,86.66667,62.15,59886.41974,21.65,299,0.00776,1.1529,ztfi,-1
856,60.0,76.55,59886.42333,21.65,299,0.0073,1.38637,ztfi,-1
837,77.14286,69.35,59886.42692,21.65,299,0.00598,1.23639,ztfi,-1
747,110.12762,47.75,59886.43051,21.65,299,0.00635,1.1303,ztfi,-1
304,72.44639,-17.05,59886.4341,21.65,299,0.01589,1.58415,ztfi,-1
303,65.36446,-17.05,59886.43768,21.65,299,0.01499,1.64468,ztfi,-1
404,57.9375,-2.65,59886.44127,21.65,299,0.01455,1.361,ztfi,-1
352,54.54511,-9.85,59886.44486,21.65,299,0.01159,1.59886,ztfi,-1
556,44.87418,18.95,59886.44845,21.65,299,0.00731,1.27633,ztfi,-1
555,37.62436,18.95,59886.45204,21.65,299,0.00773,1.42598,ztfi,-1
351,47.49593,-9.85,59886.45562,21.65,299,0.00596,1.86409,ztfi,-1
451,33.28264,4.55,59886.45921,21.65,299,0.00501,1.9411,ztfi,-1
1447,46.67615,0.95,59886.4628,21.65,299,0.00475,1.62377,ztfi,-1
605,38.5896,26.15,59886.46639,21.65,299,0.00444,1.43729,ztfi,-1
1499,43.11748,8.15,59886.46998,21.65,299,0.0042,1.6279,ztfi,-1
606,46.1152,26.15,59886.47356,21.65,299,0.00413,1.34149,ztfi,-1
700,54.52367,40.55,59886.47715,21.65,299,0.0032,1.1928,ztfi,-1
780,82.05244,54.95,59886.48074,21.65,299,0.00441,1.09335,ztfi,-1
